,close,open,high,low,volume,chgperc,yest_close,amount,b1_v,b1_p,a1_v,a1_p,pe,pb,lt_mcap,mcap
sz300877,58.39,62.56,63.06,58.22,63931.0,-5.59,61.85,38125.0,75.0,58.38,132.0,58.4,36.75,4.72,16.61,70.07
sz300867,36.77,37.33,37.65,36.62,49888.0,-0.27,36.87,18518.0,0.0,0.0,0.0,0.0,43.06,3.93,21.82,99.92
sh605123,73.49,69.58,74.55,67.1,25696.0,5.62,69.58,18460.0,10.0,73.45,27.0,73.49,53.17,5.37,19.84,79.37
sh605255,16.61,16.62,16.84,16.52,23962.0,-0.06,16.62,3990.0,35.0,16.59,66.0,16.61,32.93,2.49,5.57,22.27
sz300873,47.3,48.35,48.53,47.18,28285.0,-1.48,48.01,13510.0,0.0,0.0,0.0,0.0,36.72,3.77,14.95,63.07
sz300876,45.57,50.51,50.94,45.52,70158.0,-10.68,51.02,32858.0,0.0,0.0,0.0,0.0,63.59,6.12,10.37,43.75
sz300865,52.27,57.91,58.88,50.94,87659.0,-8.98,57.43,47371.0,0.0,0.0,0.0,0.0,63.85,5.85,11.86,50.01
sz300871,46.7,47.61,48.27,46.11,31276.0,-1.58,47.45,14788.0,271.0,46.69,49.0,46.72,54.3,4.03,12.27,51.61
sz300878,60.61,62.51,63.0,60.43,20008.0,-2.1,61.91,12383.0,0.0,0.0,0.0,0.0,38.36,3.74,11.56,48.75
sz300862,52.84,51.38,54.87,50.18,60474.0,3.61,51.0,32086.0,0.0,0.0,0.0,0.0,46.44,4.12,16.55,69.68
sz300106,12.65,12.95,13.38,12.63,226071.0,-3.07,13.05,29201.0,2234.0,12.64,520.0,12.66,-46.92,4.7,26.73,26.73
sz300857,35.41,35.0,35.49,33.9,39807.0,1.49,34.89,13925.0,0.0,0.0,0.0,0.0,58.29,6.43,18.29,73.14
sz300446,7.21,7.16,7.29,7.09,41797.0,1.26,7.12,3014.0,744.0,7.2,551.0,7.22,36.76,2.2,14.1,14.61
sz300176,7.79,7.74,8.08,7.6,110722.0,1.56,7.67,8694.0,255.0,7.78,214.0,7.8,-15.91,3.34,29.23,30.17
sz300368,21.52,20.34,22.18,20.34,658984.0,6.48,20.21,141272.0,777.0,21.51,74.0,21.53,217.76,13.77,109.69,114.47
sz300313,19.41,20.2,20.89,19.3,297014.0,-2.9,19.99,59372.0,1706.0,19.4,156.0,19.42,-121.92,42.99,35.75,60.75
sz300116,3.6,3.77,3.84,3.46,2263354.0,-4.0,3.75,81556.0,0.0,0.0,0.0,0.0,7.43,29.93,132.74,154.12
sz300269,4.65,4.72,4.74,4.55,193180.0,0.87,4.61,9014.0,0.0,0.0,0.0,0.0,-1.72,6.46,19.59,26.4
sz300152,4.15,4.07,4.24,3.97,341583.0,2.72,4.04,14060.0,0.0,0.0,0.0,0.0,-26.08,3.88,29.57,29.58
sz300064,4.29,4.55,4.59,4.27,986548.0,-4.88,4.51,43597.0,0.0,0.0,0.0,0.0,-0.92,3.79,27.4,51.71
sz300801,29.75,28.6,30.46,28.39,43136.0,5.12,28.3,12806.0,0.0,0.0,0.0,0.0,30.04,3.57,16.07,64.26
sz300261,7.79,7.73,7.9,7.65,353872.0,1.3,7.69,27539.0,1379.0,7.78,357.0,7.8,45.37,3.76,72.63,75.04
sz300869,105.4,113.15,113.8,102.44,100379.0,-6.41,112.62,107527.0,1.0,105.38,752.0,105.4,101.18,32.05,40.62,423.49
sz300870,79.93,78.99,81.43,78.99,21897.0,1.2,78.98,17552.0,0.0,0.0,0.0,0.0,50.7,5.81,19.18,80.89
sz300135,3.18,3.14,3.26,3.08,299882.0,1.92,3.12,9542.0,2803.0,3.17,2081.0,3.19,-157.94,2.37,29.31,29.31
sz300386,25.74,25.29,26.22,24.84,127149.0,3.42,24.89,32669.0,50.0,25.72,964.0,25.74,102.93,5.85,58.2,107.6
sz300131,7.34,7.51,7.76,7.24,728405.0,-1.21,7.43,54315.0,0.0,0.0,0.0,0.0,-66.03,6.73,62.37,78.5
sz300868,48.58,48.1,51.78,48.1,41243.0,-1.06,49.1,20466.0,45.0,48.57,149.0,48.59,49.16,3.55,14.74,62.18
sz300240,6.83,6.8,6.93,6.66,100946.0,2.09,6.69,6884.0,0.0,0.0,0.0,0.0,100.57,2.12,24.7,24.97
sz300185,4.58,4.48,4.75,4.42,3118793.0,4.33,4.39,143697.0,0.0,0.0,0.0,0.0,49.82,2.85,137.51,149.66
sz300051,6.64,6.65,6.73,6.56,58542.0,1.37,6.55,3900.0,0.0,0.0,0.0,0.0,-9.13,7.89,24.12,24.28
sz300343,3.4,3.41,3.56,3.35,557230.0,-1.16,3.44,19192.0,0.0,0.0,0.0,0.0,-2.46,5.02,28.44,39.95
sz300350,5.1,5.04,5.24,4.94,122402.0,2.2,4.99,6248.0,0.0,0.0,0.0,0.0,-4.26,6.78,16.63,24.31
sz300798,14.15,14.04,14.37,13.91,19850.0,1.22,13.98,2817.0,0.0,0.0,0.0,0.0,142.12,4.93,5.91,59.11
sz300875,116.8,105.0,120.0,104.0,47810.0,12.93,103.43,55021.0,0.0,0.0,0.0,0.0,81.7,6.84,22.42,89.7
sz300861,46.8,48.05,48.28,46.8,30631.0,-1.68,47.6,14544.0,0.0,0.0,0.0,0.0,46.15,5.77,17.59,187.2
sz300071,3.34,0.0,0.0,0.0,0.0,0.0,3.34,0.0,0.0,0.0,0.0,0.0,-88.97,57.0,21.34,22.42
sz300526,97.7,0.0,0.0,0.0,0.0,0.0,97.7,0.0,0.0,0.0,0.0,0.0,1230.33,35.25,199.55,199.55
sz300866,139.95,136.18,141.68,134.0,21163.0,3.24,135.56,29431.0,10.0,139.93,1.0,139.97,76.64,11.77,49.8,568.79
sz300248,13.38,13.36,13.59,13.13,114144.0,1.06,13.24,15267.0,0.0,0.0,0.0,0.0,36.29,3.88,44.34,64.37
sz300475,11.24,11.48,11.75,11.15,41620.0,0.36,11.2,4728.0,0.0,0.0,0.0,0.0,88.91,3.65,30.46,47.21
sz300301,4.45,4.7,4.74,4.45,1073735.0,-5.52,4.71,49272.0,0.0,0.0,0.0,0.0,-6.97,3.03,27.76,35.16
sz300791,88.0,88.15,89.4,87.59,4180.0,-0.93,88.83,3691.0,0.0,0.0,0.0,0.0,59.23,5.15,26.4,105.6
sz300588,13.52,14.18,14.56,13.43,192983.0,-4.59,14.17,26653.0,0.0,0.0,0.0,0.0,-150.2,5.88,14.19,22.39
sh600823,6.3,6.13,6.42,6.1,148126.0,3.79,6.07,9316.0,171.0,6.28,41.0,6.3,12.55,0.96,236.32,236.32
sz002537,6.9,6.88,6.98,6.84,159180.0,1.77,6.78,11018.0,1945.0,6.88,1016.0,6.9,-3.48,2.18,85.41,85.41
sh600321,2.06,2.05,2.07,2.03,72057.0,0.49,2.05,1478.0,427.0,2.05,5578.0,2.07,-32.17,1.17,31.12,31.12
sh600189,5.65,5.65,5.69,5.53,39183.0,1.25,5.58,2207.0,328.0,5.63,29.0,5.65,-2.72,2.78,27.82,40.5
sh603683,13.76,14.51,14.51,13.67,26395.0,-3.51,14.26,3681.0,10.0,13.74,309.0,13.76,135.4,2.21,6.94,17.43
sh603161,15.31,15.4,15.71,15.17,30461.0,0.99,15.16,4702.0,41.0,15.29,130.0,15.31,59.09,1.59,10.63,20.42
sh605333,15.32,15.59,15.67,15.23,51074.0,-1.03,15.48,7914.0,19.0,15.31,16.0,15.33,65.7,8.41,6.14,61.43
sz002885,15.18,15.2,15.36,15.12,8912.0,-0.07,15.19,1358.0,193.0,15.17,20.0,15.19,56.82,3.39,15.4,27.32
sh603663,14.96,15.12,15.37,14.86,19404.0,-0.13,14.98,2926.0,117.0,14.95,37.0,14.97,38.03,5.15,28.32,28.42
sh600976,24.72,24.86,25.29,24.49,16002.0,-0.64,24.88,3964.0,36.0,24.71,87.0,24.75,40.89,3.19,37.9,37.92
sh603688,21.15,20.78,21.29,20.78,21879.0,2.08,20.72,4614.0,71.0,21.13,66.0,21.15,35.24,4.33,73.34,73.34
sh603709,24.39,24.41,24.56,24.01,3579.0,-0.04,24.4,870.0,41.0,24.33,19.0,24.39,103.01,3.16,4.88,19.51
sz002903,13.85,13.81,13.95,13.57,19158.0,0.36,13.8,2636.0,441.0,13.84,12.0,13.86,117.52,3.43,9.14,21.06
sz300654,10.33,10.07,10.66,9.94,35022.0,4.03,9.93,3629.0,0.0,0.0,0.0,0.0,71.18,4.08,17.87,18.8
sz000881,9.37,9.58,9.64,9.33,70840.0,-2.19,9.58,6655.0,280.0,9.35,52.0,9.37,34.82,1.5,64.82,88.59
sh603826,33.45,33.0,33.56,32.32,20116.0,3.5,32.32,6658.0,3.0,33.41,139.0,33.45,117.98,10.61,156.55,156.55
sh603931,50.01,50.76,51.44,49.0,34744.0,0.18,49.92,17431.0,0.0,50.0,14.0,50.09,50.46,4.83,12.73,50.92
sh603226,10.47,10.39,10.59,10.26,19496.0,0.96,10.37,2039.0,268.0,10.46,14.0,10.48,28.28,2.37,21.74,22.02
sh603595,25.99,25.95,26.24,25.8,12513.0,0.74,25.8,3259.0,111.0,25.98,5.0,26.0,-93.9,5.08,38.25,55.34
sh605008,15.88,16.51,16.68,15.85,44215.0,-4.97,16.71,7205.0,608.0,15.87,20.0,15.91,34.91,4.76,7.3,72.86
sz002855,10.64,10.61,10.76,10.54,11036.0,0.66,10.57,1177.0,106.0,10.63,1.0,10.65,74.52,2.09,25.88,26.7
sz002677,18.27,18.39,18.5,18.15,28816.0,0.11,18.25,5283.0,2.0,18.26,20.0,18.32,26.34,8.82,51.05,118.03
sz000755,3.65,3.64,3.67,3.63,19703.0,0.27,3.64,719.0,490.0,3.63,293.0,3.65,-22.07,1.6,17.13,17.13
sh605388,20.75,20.66,21.02,20.4,38208.0,0.73,20.6,7906.0,285.0,20.74,86.0,20.76,35.52,4.78,14.53,89.22
