symbol,b1_p,b1_v
603176,2.45,2109562
300248,15.12,48429
301043,38.89,7258
300818,49.4,50595
300181,11.66,66769
301168,60.06,1857
300841,212.72,61
688180,66.95,49
300026,7.82,5407
300856,63.15,2
835670,27.22,3
430090,8.15,983
300025,4.99,64
300705,35.14,332
300199,12.61,1092
300382,23.02,35
301101,54.38,96
300355,5.39,2744
688555,36.15,50
834021,6.08,26
301025,21.8,163
836260,19.35,5
300398,24.15,126
300278,3.98,313
000982,3.37,51523
002554,3.81,76033
000530,5.67,78245
000953,5.89,39047
000597,6.22,44892
600996,5.57,25433
002694,4.48,137137
600272,8.21,42898
600505,10.51,59056
600986,8.43,230693
002349,11.28,265043
002665,5.15,238232
002731,10.74,20015
000056,5.72,6605
000705,8.88,16195
600843,6.91,17510
002816,18.65,10298
002951,11.74,52898
836149,9.5,25
002873,20.2,27691
002246,10.21,94125
605567,21.3,87969
600566,28.34,9713
605033,26.71,18930
000970,16.05,101501
600085,44.98,9476
001296,59.28,9101
600444,20.9,13285
002354,5.83,127624
002190,33.77,21496
000762,53.13,42469
600976,78.89,427
603368,19.04,14382
002907,18.05,12745
603718,15.3,13677
603230,25.87,3117
600479,12.55,28081
000999,34.24,28062
600129,22.46,40210
605116,22.02,15480
601968,10.4,155
000893,26.65,8536
600847,17.07,21796
002782,17.86,58
600981,3.53,30815
002644,10.04,55323
600255,3.31,49671
600880,7.51,350145
000607,5.31,94524
002118,3.43,51082
600637,9.44,20
002256,4.77,190711
000629,3.89,47902
002746,10.49,19710
000839,2.68,253614
002556,12.86,499
600353,7.37,19918
300813,99.94,2
600795,3.17,39069
002639,14.86,3235
600422,11.04,930
601865,57.94,4811
688138,19.17,37
300337,7.96,147
300572,20.65,134
300723,35.89,117
002840,17.28,59
605117,273.79,23
603311,14.3,3860
600610,14.44,166
001914,20.25,49
000408,41.0,1007
300147,8.07,23
688039,76.81,14
600158,15.11,1175
002625,24.0,1068
603098,46.97,168
000538,104.62,7
688005,115.58,372
002750,16.13,36214
605369,143.05,2
603233,42.1,29
300386,18.28,1583
601339,5.89,83
300843,30.31,29
002701,6.99,682
002727,38.5,196
300452,21.89,21
601877,53.89,467
002264,5.91,39
600521,21.65,157
603458,13.25,315
688793,104.4,12
839946,6.7,413
600438,44.96,1084
603105,16.61,179
300406,19.81,248
002516,6.48,1852
831726,17.3,86
002637,18.88,437
000008,2.93,6662
600285,15.79,16
688598,355.04,24
300354,38.25,5
002531,19.39,344
000861,3.26,1856
002022,14.83,1198
300121,11.6,645
688386,80.55,2
600594,8.12,1184
002603,19.59,364
002987,31.41,25
600383,12.96,193
838924,12.26,235
603110,45.95,170
688560,34.58,122
603327,17.59,60
600080,8.52,171
002773,20.35,245
300203,28.26,378
603001,9.43,70
300039,6.16,1896
002728,17.11,226
600329,31.41,218
838275,7.26,26
000650,9.31,1400
002982,48.79,80
688617,280.0,97
000423,48.75,172
300095,18.87,53
002486,2.99,2983
603806,130.55,3
600750,14.44,44
600587,32.19,37
300007,30.21,112
601012,86.19,12
300118,32.46,229
603086,12.39,455
000546,13.42,633
002135,11.56,2790
002268,55.91,19
300357,57.05,1
600777,2.28,35628
600535,15.85,718
002324,14.12,150
002777,27.64,64
832000,9.41,12
600773,28.26,464
002645,24.4,333
600361,5.75,326
300682,37.03,1
300049,14.67,21
871981,43.08,45
600283,12.64,231
600463,8.1,394
839680,20.89,1
600203,10.26,268
002605,22.73,98
000409,6.64,164
300204,17.55,726
002306,3.3,1373
000792,35.39,531
600332,34.19,156
688658,29.7,30
002758,12.38,199
002140,14.68,199
300213,8.87,175
833523,28.65,185
000921,15.14,3
605168,168.98,22
000014,7.91,65
000708,20.47,2
002105,9.99,490
300692,8.59,105
832171,16.98,34
600011,9.69,9187
837212,16.99,20
301221,95.46,1
600826,9.44,3
002372,24.32,123
605016,35.1,251
002275,16.91,114
002629,5.1,8231
603939,55.11,58
300430,14.48,15
002287,30.56,38
603683,13.76,416
000876,15.2,2495
300393,19.04,1530
000068,3.46,5592
300202,4.85,324
600116,11.66,1203
002086,3.08,69489
836826,14.64,13
600518,3.09,757396
688303,61.96,127
300654,9.49,1
600557,12.23,63
300404,13.83,130
600721,7.49,6
833873,6.66,69
600456,71.78,2
002770,2.3,63724
002872,5.22,477
600781,3.56,6244
600265,21.37,2163
600654,2.46,1671
002473,11.97,3422
002586,3.58,2308
688296,50.79,15
600896,5.22,596
600599,8.23,35451
002634,6.18,789
600378,48.15,1
000980,6.35,122513
600146,3.6,10412
002738,70.35,5
688159,31.6,145
002795,12.13,75
600824,3.85,1679
000673,2.35,11390
603883,49.38,9
600815,3.23,1225
688787,92.41,2
688556,67.45,3
601028,19.04,54
000665,6.26,1817
600122,2.16,7923
601330,10.43,968
600477,4.12,3459
002390,7.41,1987
002558,11.96,539
600300,4.14,1075
002438,20.5,378
000028,36.98,271
000525,8.8,10294
600101,7.71,126
688733,79.75,2
600200,8.56,1450
600338,37.66,356
601127,59.54,153
834765,10.06,4
831370,5.09,28
830832,8.35,2
002650,6.86,223
002950,16.35,374
002545,9.11,496
002347,5.09,2927
603096,29.43,5
300634,17.33,2
603026,197.98,2
688599,78.88,10
838030,6.28,1354
002037,8.06,189
838163,8.1,142
600495,4.04,132
301179,55.41,10
688157,121.7,1
603858,21.09,149
603217,50.67,15
002412,6.34,874
600252,3.85,9282
688680,305.3,0
600487,15.11,687
600210,9.18,3045
603239,17.5,643
688668,70.46,23
002780,19.79,6
301038,20.97,6
300542,15.27,336
300631,42.21,82
300089,4.92,2569
834599,9.83,73
300325,2.59,4903
688110,45.18,116
002069,3.29,449
688233,88.0,268
300967,26.66,61
600052,5.19,826
688390,459.58,6
300475,27.74,115
834475,11.51,55
603886,23.55,197
300018,8.3,3046
300316,69.5,383
603867,36.85,52
600886,11.46,213
688628,29.29,21
002425,9.64,328
002733,23.12,296
300674,23.89,502
002240,57.95,0
688033,32.94,3
000683,7.29,2218
300763,231.52,1
002526,2.41,4299
000533,4.69,3345
600613,6.42,450
601068,6.09,2966
300389,10.33,712
601686,9.79,390
002300,8.15,40
002865,70.0,645
603737,139.1,2
832145,12.94,3
