symbol,name,close,yest_close,b1_p,b1_v,volume
836263,中航泰达,7.48,5.76,7.48,21840,120580
834021,流金岁月,7.9,6.39,7.9,1859,520002
300312,*ST邦讯,3.7,3.08,3.7,38491,391997
300043,星辉娱乐,4.48,3.73,4.48,221363,705761
300389,艾比森,12.58,10.48,12.58,105225,69904
300052,中青宝,39.28,32.73,39.28,65957,974087
688655,迅捷兴,25.2,21.0,25.2,1693,125918
300479,神思电子,23.28,19.4,23.28,18064,583287
688526,科前生物,32.26,27.97,32.15,16,152192
833873,中设咨询,7.36,6.56,7.35,453,118330
300264,佳创视讯,11.85,10.61,11.84,626,1033466
300858,科拓生物,37.68,33.96,37.68,472,78654
002195,二三四五,2.83,2.57,2.83,425548,6049431
002345,潮宏基,6.33,5.75,6.33,12461,879625
600077,宋都股份,3.28,2.98,3.28,360337,66301
601107,四川成渝,5.47,4.97,5.47,19682,1230402
603123,翠微股份,9.87,8.97,9.87,50524,112486
600753,东方银星,18.22,16.56,18.22,10043,171492
002481,双塔食品,9.77,8.88,9.77,74842,448360
600530,交大昂立,4.94,4.49,4.94,33423,676081
600860,京城股份,20.42,18.56,20.42,56971,441950
002354,天神娱乐,6.92,6.29,6.92,184773,3200953
000056,皇庭国际,6.92,6.29,6.92,10640,752188
000819,岳阳兴长,22.3,20.27,22.3,21848,306967
600706,曲江文旅,8.24,7.49,8.24,8000,144052
000004,国华网安,21.99,19.99,21.99,30295,75663
603176,汇通集团,2.97,2.7,2.97,2088723,2442
603096,新经典,34.1,31.0,34.1,6915,53801
002721,金一文化,3.96,3.6,3.96,93151,1156729
002486,嘉麟杰,3.41,3.1,3.41,169272,553995
000665,湖北广电,7.59,6.9,7.59,135500,1462040
605599,菜百股份,15.08,13.71,15.08,18699,191598
000546,金圆股份,14.31,13.01,14.31,9928,995522
002349,精华制药,13.65,12.41,13.65,32436,1857697
605388,均瑶健康,20.15,18.32,20.15,34625,167899
000985,大庆华科,15.64,14.22,15.64,16472,35243
002059,云南旅游,7.27,6.61,7.27,41012,625139
000955,欣龙控股,5.95,5.41,5.95,15406,879839
605069,正和生态,23.25,21.14,23.25,31639,59107
002750,龙津药业,19.51,17.74,19.51,8512,866165
002034,旺能环境,19.51,17.74,19.51,32940,52196
601798,蓝科高新,9.7,8.82,9.7,12224,406127
002963,豪尔赛,19.07,17.34,19.07,8029,133178
600423,柳化股份,4.63,4.21,4.63,14205,327061
002723,金莱特,17.86,16.24,17.86,8942,139391
002639,雪人股份,15.33,13.94,15.33,65163,2410685
600272,开开实业,9.93,9.03,9.93,85676,36952
603536,惠发食品,13.02,11.84,13.02,15132,200532
600996,贵广网络,6.74,6.13,6.74,111894,224293
002107,沃华医药,8.95,8.14,8.95,40372,675057
002638,勤上股份,2.21,2.01,2.21,30453,1530156
002699,美盛文化,7.3,6.64,7.3,140062,1765241
002694,顾地科技,5.42,4.93,5.42,116117,33644
000530,冰山冷热,6.86,6.24,6.86,166588,1059364
000554,泰山石油,5.98,5.44,5.98,73497,302968
000558,莱茵体育,4.66,4.24,4.66,158166,584883
300612,宣亚国际,31.6,28.82,31.6,100,435432
002047,宝鹰股份,4.62,4.22,4.61,2200,2478844
688501,青达环保,24.61,22.52,24.61,17,55359
300943,春晖智控,49.0,44.99,48.99,151,147744
300032,金龙机电,7.09,6.52,7.09,491,1018243
688068,热景生物,125.58,115.5,125.57,5,48772
830839,万通液压,10.3,9.48,10.3,80,20884
301015,百洋医药,32.38,29.88,32.37,126,154928
603363,傲农生物,15.12,13.97,15.11,13,607696
300918,南山智尚,11.46,10.6,11.45,1550,277521
300398,飞凯材料,28.56,26.45,28.56,522,623912
002253,川大智胜,19.73,18.3,19.73,382,446494
000503,国新健康,19.6,18.18,19.6,10754,831576
300494,盛天网络,22.03,20.45,22.03,292,376363
