symbol,name,open,close,yest_close,b1_p,b1_v,volume
871245,N威博,28.12,26.0,9.68,26.0,251,70740
300858,科拓生物,38.41,45.22,37.68,45.22,10578,101257
300056,中创环保,7.21,8.64,7.2,8.64,39472,349485
300580,贝斯特,27.13,31.3,27.45,31.3,54,98375
836263,中航泰达,8.2,8.95,7.48,8.95,41,144753
300813,泰林生物,85.4,102.48,85.4,102.48,3647,23254
300111,向日葵,3.1,3.73,3.11,3.73,56185,2394018
300389,艾比森,13.6,13.92,12.58,13.91,460,467292
688212,澳华内镜,39.0,44.94,39.39,44.94,172,39616
300286,安科瑞,31.99,35.51,32.25,35.51,53,74929
688659,元琛科技,13.32,14.57,13.42,14.57,233,76934
300312,*ST邦讯,4.0,3.97,3.7,3.97,2186,538113
301058,中粮工科,17.09,20.7,17.25,20.7,3483,418466
000620,新华联,2.04,2.26,2.05,2.26,82400,390490
002256,兆新股份,4.52,5.12,4.65,5.12,195698,2463400
603176,汇通集团,3.27,3.27,2.97,3.27,1713572,2909
000607,华媒控股,5.32,6.0,5.45,6.0,78650,535166
000558,莱茵体育,4.99,5.13,4.66,5.13,160655,902080
002370,亚太药业,4.94,5.25,4.77,5.25,199725,260731
600077,宋都股份,3.61,3.61,3.28,3.61,265445,49625
000530,冰山冷热,7.55,7.55,6.86,7.55,212759,520858
000409,云鼎科技,6.52,7.12,6.47,7.12,60967,275961
002177,御银股份,7.29,8.11,7.37,8.11,159210,1112066
601588,北辰实业,2.59,2.85,2.59,2.85,85252,1216100
000554,泰山石油,6.37,6.58,5.98,6.58,104360,216344
603123,翠微股份,10.57,10.86,9.87,10.86,27851,829494
600493,凤竹纺织,6.47,7.24,6.58,7.24,15721,310245
002908,德生科技,17.22,18.21,16.55,18.21,32708,206959
603616,韩建河山,6.69,7.46,6.78,7.46,48035,113475
002017,东信和平,14.56,15.91,14.46,15.91,38789,280765
605388,均瑶健康,22.17,22.17,20.15,22.17,51503,53139
600381,青海春天,9.08,9.55,8.68,9.55,78377,152180
002140,东华科技,13.66,14.93,13.57,14.93,52273,317347
000411,英特集团,13.78,15.04,13.67,15.04,30108,87997
605069,正和生态,25.58,25.58,23.25,25.58,32403,124388
603319,湘油泵,23.81,26.13,23.75,26.13,9957,94140
605166,聚合顺,15.12,16.8,15.27,16.8,6457,105420
