,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sh603076,23.77,185406.0,0.0,0.0,0.0,0.0
sz300240,7.82,69598.0,0.0,0.0,0.0,0.0
sz000893,4.43,6202.0,0.0,0.0,0.0,0.0
sh600185,4.25,16575.0,0.0,0.0,0.0,0.0
sz002468,16.73,67623.0,0.0,0.0,0.0,0.0
sh601225,7.66,308698.0,0.0,0.0,0.0,0.0
sz000966,0,0,0,0,0,0
sz002424,8.7,43500.0,0.0,0.0,0.0,0.0
sz002305,2.93,1745108.0,52.78333333333333,0.30485023,0.46027286,0.13304661
sh600157,2.03,46470760.0,0.0,0.0,0.0,0.0
sh603918,0,0,0,0,0,0
sz300701,32.2,431480.0,0.0,0.0,0.0,0.0
sz000403,27.49,27490.0,0.0,0.0,0.0,0.0
sz300717,14.16,89208.0,0.0,0.0,0.0,0.0
sh600536,21.46,1203906.0,0.0,0.0,0.0,0.0
sh603477,7.61,50226.0,0.0,0.0,0.0,0.0
sz000996,9.12,2515296.0,0.0,0.0,0.0,0.0
sz002524,4.81,79846.0,0.0,0.0,0.0,0.0
sh600896,0,0,0,0,0,0
sz002606,7.56,2636943.0,0.0,0.0,0.0,0.0
sh600487,18.25,1496500.0,0.0,0.0,0.0,0.0
sz300094,5.4,201960.0,0.0,0.0,0.0,0.0
sz000766,6.84,99180.0,0.0,0.0,0.0,0.0
sz002791,0,0,0,0,0,0
sh600313,2.34,234.0,0.0,0.0,0.0,0.0
sh600186,2.05,182040.0,0.0,0.0,0.0,0.0
sh600196,21.55,1049485.0,0.0,0.0,0.0,0.0
sh600137,13.28,7968.0,0.0,0.0,0.0,0.0
sz000528,6.23,383145.0,0.0,0.0,0.0,0.0
sh600612,42.11,63165.0,0.0,0.0,0.0,0.0
sh600814,0,0,0,0,0,0
sz000639,6.65,33915.0,0.0,0.0,0.0,0.0
sz002845,16.29,273672.0,0.0,0.0,0.0,0.0
sh603818,6.82,6820.0,0.0,0.0,0.0,0.0
sh600520,12.84,7704.0,0.0,0.0,0.0,0.0
sz002680,0,0,0,0,0,0
sz000564,2.81,851992.0,0.0,0.0,0.0,0.0
sh601969,4.59,72063.0,0.0,0.0,0.0,0.0
sh603518,14.78,4434.0,0.0,0.0,0.0,0.0
sz002877,15.38,53830.0,0.0,0.0,0.0,0.0
sz002299,18.25,520125.0,0.0,0.0,0.0,0.0
sz000998,13.45,99530.0,0.0,0.0,0.0,0.0
sz300347,39.0,444600.0,0.0,0.0,0.0,0.0
sh600826,9.75,975.0,0.0,0.0,0.0,0.0
sh601633,6.08,553888.0,0.0,0.0,0.0,0.0
sh603900,13.17,92190.0,0.0,0.0,0.0,0.0
sz300508,24.75,217800.0,237.61666666666667,0.01260153,0.20758192,0.0324952
sz300384,12.7,323850.0,0.0,0.0,0.0,0.0
sz002640,0,0,0,0,0,0
sz002415,28.15,3560975.0,0.0,0.0,0.0,0.0
sh600645,17.65,172970.0,0.0,0.0,0.0,0.0
