,kaipan_price,kaipan_money,sell_amount,zhangting_min
sh603076,25.4,106680,0.0005698,0.03333333333333333
sz300240,7.67,133458,0.0144855,2.45
sz000893,4.69,35644,0.0009545199999999999,11.333333333333334
sh600185,4.74,191970,0.034139350000000006,0.2
sz002468,21.71,427687,0.00912,0.21666666666666667
sh601225,9.19,7427358,0.0173082,0.05
sz000966,4.19,678780,0.0146455,1.6666666666666665
sz002424,10.5,3246600,0.032466,0.23333333333333334
sz002305,3.3,2131800,0.00696984,0.30000000000000004
sh600157,2.18,5609380,0.06391403,0.2
sh603918,13.71,157062,0.00103896,1.1666666666666667
sz300701,35.3,88250,0.0005415,0.05
sz000403,28.33,53827,0.00530166,0.65
sz300717,16.3,198860,0.00577061,1.15
sh600536,29.66,8806054,4.5513096,128.5
sh603477,8.45,212095,0.00600479,2.25
sz000996,13.09,2919070,0.01042944,0.06666666666666667
sz002524,5.15,558775,0.00689832,0.21666666666666667
sh600896,4.83,5796,0.0007080999999999999,2.9333333333333336
sz002606,7.08,2988468,0.0048384000000000005,0.2
sh600487,22.43,12911112,0.012321599999999999,0.05
sz300094,6.79,430486,0.0006762000000000001,0.7166666666666667
sz000766,7.5,359250,0.00589628,0.2
sz002791,13.31,547041,0.0017113599999999999,0.3
sh600313,2.79,239940,0.029766039999999997,5.016666666666667
sh600186,2.12,501168,0.0055044000000000004,1.5666666666666667
sh600196,29.01,7462445,0.01091068,0.0
sh600137,14.4,109440,0.00120123,0.0
sz000528,7.49,1310877,0.04072,0.0
sh600612,40.93,573020,0.0002102,0.0
sh600814,5.86,48638,0.001196,2.933333333333333
sz000639,8.53,103213,0.005425,0.25
sz002845,20.3,2044210,0.015704,0.21666666666666667
sh603818,7.99,176579,0.0016442800000000001,0.1
sh600520,14.05,177030,0.00330828,0.25
sz002680,1.49,3998416,0.11179144,30.366666666666667
sz000564,3.45,1933725,0.024930360000000002,0.05
sh601969,5.28,698544,0.0025447399999999998,0.5333333333333333
sh603518,15.32,490240,0.00182932,2.05
sz002877,16.09,286402,0.008078400000000001,0.05
sz002299,27.5,3014000,0.00732588,0.08333333333333333
sz000998,15.72,444876,0.00922636,0.0
sz300347,57.37,1187674,0.0223236,0.25
sh600826,11.55,3212055,0.00516538,0.25
sh601633,8.24,2187720,0.0017928000000000002,0.05
sh603900,13.4,440860,0.0189882,0.5166666666666666
sz300508,25.95,293235,0.007881029999999999,0.15
sz300384,16.7,1825310,0.00180495,0.45
sz002640,11.76,1078392,0.0038578899999999997,0.05
sz002415,35.15,28208156,0.00870368,0.0
sh600645,20.42,1125142,0.0035954999999999997,0.11666666666666667
sz002469,4.45,45835,0.0088998,3.7
sz002827,16.01,496310,0.00319215,0.4166666666666667
sz300636,19.38,3876,0.00017802,0.0
sz000890,6.16,404712,0.00249738,3.1
sh603026,24.14,36210,0.0139728,0.0
sh600539,6.87,3435,0.00074844,1.9
sz000925,7.35,294000,0.0215901,0.55
sz002459,12.22,597558,0.0005409400000000001,0.06666666666666667
sh603388,11.49,80430,0.00066024,0.30000000000000004
sz300221,7.05,3086490,0.00652324,0.3
sz000970,9.22,324544,0.00952135,0.0
sz002775,6.88,394912,0.0002627,1.6666666666666667
sz300463,19.16,109212,0.00012,0.0
sh603110,13.0,250900,0.00030774000000000003,0.15
sz000089,9.79,2242889,0.004746149999999999,0.35
sh603116,8.48,418912,0.00142395,1.35
sh603500,12.94,521482,0.00050654,0.05
sh600854,4.29,170313,0.00301002,0.5666666666666667
sh600009,59.58,5683932,0.00942,0.0
sz000936,8.52,22184376,0.13494624,0.13333333333333333
sz300243,9.61,150877,0.0030772000000000004,0.0
sh600962,9.45,1050840,1.03494192,75.2
sh600893,25.2,3144960,0.01173392,0.1
sh603556,15.43,140413,0.00019031999999999998,0.7166666666666667
sz300545,31.9,5879170,0.0025612000000000005,0.0
sz002037,9.47,129739,0.00099283,0.1
sh603021,6.66,122544,5.44e-05,0.3833333333333333
sh600619,9.28,251488,0.00964184,0.0
sh600096,6.47,483956,0.025406400000000003,0.6
sz002537,11.17,797538,0.00158895,0.05
sh600059,7.59,409101,0.00051678,0.1
sz000957,8.3,4038780,0.00660976,0.5
sh600217,4.9,353290,0.004261740000000001,1.8
sh600023,4.82,3384122,0.0027854499999999996,0.1
sz300543,18.09,622296,0.00133835,0.05
sh600222,4.38,83658,0.00068665,4.616666666666666
sz300627,19.14,244992,0.0014366399999999999,0.35
