,kaipan_price,kaipan_money,sell_amount
sh603076,27.46,183982,0.000563
sz300240,8.04,66732,0.0008547600000000001
sz000893,6.12,223380,3.7619999999999996e-05
sh600185,5.48,436756,0.0022461600000000005
sz002468,23.43,1361283,0.00103853
sh601225,8.98,10746366,0.03639415
sz000966,4.19,225003,0.01128699
sz002424,10.56,685344,0.0093594
sz002305,3.55,2461570,0.040154119999999995
sh600157,2.2,2499860,0.18356411
sh603918,14.87,483275,0.0058943699999999995
sz300701,38.22,301938,0.0044528400000000004
sz000403,28.65,329475,0.0027504400000000003
sz300717,18.09,542700,0.0041686399999999995
sh600536,55.28,24605128,4.96452495
sh603477,9.46,578952,0.006116849999999999
sz000996,14.24,1888224,0.0028840499999999995
sz002524,5.47,339140,0.0076272
sh600896,5.58,43524,0.1197027
sz002606,7.3,565020,0.00189756
sh600487,21.32,4572991,0.04228368
sz300094,6.52,252324,0.00177422
sz000766,9.75,9368775,0.62166975
sz002791,14.62,807024,0.0192325
sh600313,2.92,512168,0.00242305
sh600186,2.08,240864,0.03120336
sh600196,29.9,11122800,0.021086399999999998
sh600137,17.75,266250,0.00677817
sz000528,7.9,1850970,0.010071360000000001
sh600612,44.5,1481850,0.00240779
sh600814,6.14,369014,0.004408560000000001
sz000639,10.5,1567650,0.0023131799999999998
sz002845,22.88,1523808,0.10713967999999999
sh603818,9.24,612612,0.00018449000000000002
sh600520,15.45,582465,0.0016301400000000002
sz002680,0.0,0.0,0.0
sz000564,3.67,1982901,0.025028260000000004
sh601969,5.33,1206179,0.018708580000000002
sh603518,17.09,290530,0.01297525
sz002877,16.14,90384,0.0023486799999999997
sz002299,25.32,4283638,0.00869176
sz000998,16.29,247608,0.005427899999999999
sz300347,66.54,625476,0.0101385
sh600826,11.69,840511,0.0007224
sh601633,7.86,985644,0.01247048
sh603900,15.18,321816,0.0353158
sz300508,28.9,482630,3.023e-05
sz300384,15.89,257418,0.00045667999999999994
sz002640,11.01,15654084,0.033070949999999995
sz002415,35.42,19140968,0.09838152
sh600645,21.91,1156848,0.0467077
sz002469,4.84,127292,0.0033632600000000003
sz002827,16.69,741036,0.009054
sz300636,20.9,8359,0.00034048
sz000890,6.53,540031,0.0018063200000000001
sh603026,29.4,3627960,0.8447471999999999
sh600539,7.35,299880,0.0077
sz000925,8.09,596557,0.00165228
