,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sh603076,0.0,0.0,0.75,0.0013949,0.00125856
sz300240,9.6,2660160.0,0.05,0.0208015,0.01718596
sz000893,7.78,98806.0,37.266666666666666,0.01557346,0.30263823
sh600185,5.73,162159.0,0.0,0.00163489,0.00080276
sz002468,24.62,423464.0,0.0,0.0,0.00423464
sh601225,9.37,3377885.0,0.6333333333333333,0.01094805,0.02189439
sz000966,5.45,4860310.0,0.0,0.02029669,0.01287712
sz002424,11.88,770739.0,70.01666666666667,0.09610054,0.59575334
sz002305,3.62,550964.0,0.0,0.00373101,0.00011659
sh600157,2.22,5432895.0,0.35,0.9197628,0.27777648
sh603918,15.55,172605.0,0.05,0.00233941,0.0020245
sz300701,38.42,61472.0,0.0,0.00590008,7.818e-05
sz000403,28.03,47651.0,0.0,0.00091364,0.00091364
sz300717,18.29,307272.0,0.05,0.0,0.00393079
sh600536,54.99,8963370.0,0.0,0.02483279,0.03829021
sh603477,9.14,137100.0,0.0,0.00234161,0.00151925
sz000996,16.11,1963809.0,0.15,0.00676187,0.00830602
sz002524,5.99,1843722.0,0.0,0.00477486,0.00161235
sh600896,6.56,695360.0,0.0,0.00572936,0.00572936
sz002606,7.58,522262.0,0.6,0.00310765,0.0192021
sh600487,22.31,11218048.0,0.08333333333333333,0.03174858,0.05045925
sz300094,6.37,122941.0,0.21666666666666667,0.008951,0.00549112
sz000766,10.39,3758063.0,0.0,0.20535566,0.13601831
sz002791,14.66,4398.0,0.0,0.00064391,0.0002996
sh600313,3.09,708228.0,0.9666666666666667,0.02198892,0.01476736
sh600186,2.11,265016.0,30.616666666666667,0.02672239,0.05405506
sh600196,29.86,9686584.0,0.0,0.02204761,0.02204761
sh600137,16.93,84650.0,0.31666666666666665,0.00709708,0.0023868400000000003
sz000528,8.18,2143978.0,0.0,0.0,0.02143978
sh600612,46.4,41760.0,0.08333333333333333,0.00561003,0.00674512
sh600814,6.28,61544.0,2.433333333333333,0.00716409,0.01410589
sz000639,9.86,34510.0,0.1,0.00065916,0.00058232
sz002845,20.92,228028.0,0.0,0.00370621,0.00263534
sh603818,8.78,22828.0,0.0,0.00113515,4.436e-05
sh600520,15.0,151500.0,0.0,0.00075664,0.00075664
sz002680,0,0,0,0,0
sz000564,3.74,526592.0,0.4,0.01767399,0.04804793
sh601969,5.86,235572.0,0.7333333333333333,0.00392598,0.00557289
sh603518,17.57,267064.0,0.8333333333333334,0.00117814,0.00158988
sz002877,16.53,142158.0,0.0,0.00028667,0.0001687
sz002299,26.49,3162906.0,0.0,0.00419465,0.00419465
sz000998,15.45,492855.0,0.0,0.00056336,0.00056336
sz300347,66.02,1049718.0,0.0,0.00218031,0.00218031
sh600826,13.03,123785.0,0.0,0.0040086,0.00216952
sh601633,9.62,2459834.0,56.083333333333336,0.04772863,0.66133872
sh603900,16.15,96900.0,0.0,0.00304337,0.00086227
sz300508,29.89,944524.0,5.0,0.0,0.00989359
sz300384,18.15,762300.0,0.05,0.00881802,0.00115226
sz002640,14.97,194048790.0,0.0,0.0,1.9404879
sz002415,34.55,12710945.0,0.0,0.01770271,0.00925257
sh600645,21.44,353760.0,0.0,0.00279715,0.00607408
sz002469,4.96,408208.0,0.0,0.00799688,0.00774588
sz002827,17.93,240262.0,0.0,0.0003473,0.0003473
sz300636,21.46,19314.0,0.0,0.00107819,2.158e-05
sz000890,7.16,1187128.0,0.15,0.01478965,0.0032934
sh603026,38.4,2423040.0,0.05,0.00428747,0.00616
sh600539,8.29,7461.0,0.7833333333333333,0.00051948,0.00573295
sz000925,8.11,638257.0,0.0,0.00261118,0.00248773
sz002459,13.2,2193840.0,0.0,0.00543268,0.00155709
sh603388,12.98,9086.0,0.36666666666666664,0.00303505,0.00207487
sz300221,8.75,496125.0,0.0,0.02354098,0.01958856
sz000970,11.65,2628240.0,0.0,0.01600564,0.00489739
sz002775,8.78,6428540.0,0.0,0.01820292,8.46e-05
sz300463,21.0,98700.0,0.3,0.03216299,0.0038374
sh603110,15.6,168480.0,0.5,0.00127945,0.00353874
sz000089,9.35,3886795.0,0.06666666666666667,0.01574017,0.01328716
sh603116,9.05,31675.0,0.0,0.00094329,0.00080469
sh603500,13.72,104272.0,0.3,0.00309409,0.00038752
sh600854,4.86,87480.0,0.0,0.00687393,0.00566118
sh600009,62.55,1027134.0,0.0,0.02211179,0.02268239
sz000936,10.02,1229454.0,0.06666666666666667,0.01723258,0.00486703
sz300243,0.0,0.0,0.55,0.00194281,0.00171093
sh600962,11.35,611935.0,0.0,0.01857179,0.00542315
sh600893,26.34,1166862.0,0.0,0.0005586,0.0005586
sh603556,15.7,51810.0,0.0,0.00074732,1.592e-05
sz300545,30.5,512400.0,0.0,0.01378145,0.00962437
