,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell,cost
sz000719,6.96,58464.0,0.0,0.0,0.0,0.0,7.024404496946869
sz300139,8.2,103320.0,0.0,0.0,0.0,0.0,8.41220370745543
sh600728,6.1,1609180.0,0.0,0.0,0.0,0.0,6.19712991153837
sz300294,33.77,1185327.0,0.0,0.0,0.0,0.0,33.44297276615515
sh601658,5.31,894735.0,0.0,0.0,0.0,0.0,5.320324839265803
sz300801,0,0,0,0,0,0,0
sh600543,7.13,745798.0,0.0,0.0,0.0,0.0,7.116115218219283
sz002041,16.41,800808.0,0.0,0.0,0.0,0.0,16.89345023673145
sh600337,5.25,139650.0,0.0,0.0,0.0,0.0,5.22020811335937
sz300236,34.55,110560.0,0.0,0.0,0.0,0.0,35.77516942996325
sz002473,0,0,0,0,0,0,0
sz300873,43.7,196650.0,0.0,0.0,0.0,0.0,42.23051393330288
sz002748,0.0,0.0,0.0,0.0,0.0,0.0,6.537397188964081
sz002087,3.43,58653.0,0.0,0.0,0.0,0.0,3.464166871442028
sz002112,6.94,35394.0,0.0,0.0,0.0,0.0,6.894532146389714
sz002420,0,0,0,0,0,0,0
sz002830,0.0,0.0,0.0,0.0,0.0,0.0,9.549246882307093
sh603666,0,0,0,0,0,0,0
sz002236,22.9,4985330.0,0.0,0.0,0.0,0.0,23.0353042085814
sh600161,33.0,825000.0,0.0,0.0,0.0,0.0,32.87620436600093
sh600458,8.11,77045.0,0.0,0.0,0.0,0.0,8.252360632653575
sz002282,11.01,179463.0,0.0,0.0,0.0,0.0,11.300114563443847
sz002479,0,0,0,0,0,0,0
sh603515,0,0,0,0,0,0,0
sh600847,8.48,22048.0,0.0,0.0,0.0,0.0,8.538071485126116
sz002059,5.08,89916.0,0.0,0.0,0.0,0.0,5.106816401468788
sh600623,8.99,174406.0,0.0,0.0,0.0,0.0,9.22899899772274
sh603355,51.14,567654.0,0.0,0.0,0.0,0.0,53.160589450747615
sz002128,12.02,1768142.0,0.0,0.0,0.0,0.0,12.070755703088281
sh600706,6.69,6690.0,0.0,0.0,0.0,0.0,6.699313713290194
sh603131,0,0,0,0,0,0,0
sz002760,0,0,0,0,0,0,0
sz300260,14.71,120622.0,0.0,0.0,0.0,0.0,14.922678331451914
sz002522,5.97,48357.0,0.0,0.0,0.0,0.0,5.9764102731840065
sh603823,16.8,1680.0,0.0,0.0,0.0,0.0,16.24040249888443
sz300130,0,0,0,0,0,0,0
sz002645,0,0,0,0,0,0,0
sz000633,7.95,399885.0,0.0,0.0,0.0,0.0,8.366295215710474
sh603676,8.44,187368.0,0.0,0.0,0.0,0.0,8.504383920855807
sz002853,24.0,333600.0,0.0,0.0,0.0,0.0,24.31294517752687
