,kaipan_price,kaipan_money
sh600000,10.19,2888865.0
sh600004,12.07,529873.0
sh600006,7.15,3808090.0
sh600007,22.18,1639102.0
sh600008,3.01,963801.9999999999
sh600009,47.66,590983.9999999999
sh600010,1.56,5242848.0
sh600011,4.15,417490.00000000006
sh600012,7.0,113400.0
sh600015,6.45,1200345.0
sh600016,4.68,964548.0
sh600017,2.73,212394.0
sh600018,4.75,219450.0
sh600019,7.73,6556586.0
sh600020,3.42,12654.0
sh600021,7.18,854419.9999999999
sh600022,1.74,1449420.0
sh600023,3.61,223459.0
sh600025,5.5,530000.0
sh600026,6.11,216905.00000000003
sh600027,3.38,798017.9999999999
sh600028,4.34,5726630.0
sh600029,6.7,3180000.0
sh600030,25.08,18356052.0
sh600031,29.5,19278250.0
sh600033,2.74,11782.0
sh600035,3.05,89059.99999999999
sh600036,55.87,19174584.0
sh600037,10.9,1663340.0000000002
sh600038,52.8,543840.0
sh600039,7.62,803148.0
sh600048,13.48,1086488.0
sh600050,4.37,547124.0
sh600051,6.8,42840.0
sh600052,3.28,96759.99999999999
sh600053,16.81,95817.0
sh600054,9.39,39438.0
sh600055,13.37,673848.0
sh600056,12.9,325080.0
sh600057,6.71,236863.0
sh600058,8.55,317205.0
sh600059,12.19,854519.0
sh600060,11.98,281530.0
sh600061,13.26,1136382.0
sh600062,12.2,228140.0
sh600063,4.06,448224.0
sh600064,9.87,50000.0
sh600066,13.5,1491750.0
sh600067,3.31,47995.0
sh600068,7.1,1126770.0
sh600070,7.05,19740.0
sh600071,13.18,20000.0
sh600072,11.47,188108.00000000003
sh600073,8.28,372599.99999999994
sh600075,7.27,542342.0
sh600076,3.54,1466268.0
sh600077,2.91,202827.00000000003
sh600078,1.89,680211.0
sh600079,29.09,1134510.0
sh600080,6.42,270282.0
sh600081,13.41,926631.0
sh600082,2.81,8148.999999999999
sh600083,5.5,0.0
sh600084,3.21,97263.0
sh600085,36.51,9686103.0
sh600086,0.16,0.0
sh600088,15.12,2620296.0
sh600089,12.18,7220303.999999999
sh600090,1.29,101136.0
sh600091,2.45,112700.0
sh600093,5.93,0.0
sh600094,3.58,86636.0
sh600095,11.6,43580040.0
sh600096,8.88,2154288.0
sh600097,9.07,50792.0
sh600098,5.9,146320.0
sh600099,6.13,45975.0
sh600100,5.94,84348.0
sh600101,5.5,292050.0
sh600103,2.24,1268064.0000000002
sh600104,20.5,5172150.0
sh600105,3.44,717584.0
sh600106,2.62,130000.0
sh600107,6.81,22473.0
sh600108,2.8,113119.99999999999
sh600109,12.57,3994746.0
sh600110,7.47,670000.0
sh600111,20.15,6973914.999999999
sh600112,1.5,394050.0
sh600113,6.03,1206.0
sh600114,7.78,108920.0
sh600115,5.57,352581.00000000006
sh600116,8.67,281775.0
sh600117,3.97,107587.00000000001
sh600118,29.37,455235.00000000006
sh600119,7.96,0.0
sh600120,5.61,67320.0
sh600121,5.43,1058850.0
sh600122,1.4,2153900.0
sh600123,6.17,1534479.0
sh600125,5.06,33902.0
sh600126,5.52,114815.99999999999
sh600127,9.36,197495.99999999997
sh600128,6.9,302220.0
sh600129,15.55,10423165.0
sh600130,3.34,1002.0
sh600131,13.8,107640.00000000001
sh600132,171.66,3261540.0
sh600133,5.96,208600.0
sh600135,6.29,5661.0
sh600136,7.9,1234770.0
sh600137,17.97,5640000.0
sh600138,11.07,472689.00000000006
sh600139,1.75,403200.0
sh600141,15.89,6578460.000000001
sh600143,20.38,1212609.9999999998
sh600145,1.09,175708.00000000003
sh600146,1.54,156464.0
sh600148,12.89,0.0
sh600149,5.48,16440.0
sh600150,17.17,2829616.0000000005
sh600151,9.23,370123.0
sh600152,8.45,2086305.0
sh600153,8.05,224595.00000000003
sh600155,11.56,8930000.0
sh600156,3.6,614520.0
sh600157,1.6,1963040.0000000002
sh600158,13.16,4267788.0
sh600159,2.49,37848.0
sh600160,9.49,669994.0
sh600161,33.7,470000.0
sh600162,1.92,100416.0
sh600163,4.65,409200.00000000006
sh600165,6.87,774936.0
sh600166,3.95,1120000.0
sh600167,9.5,10212500.0
sh600168,6.75,18900.0
sh600169,2.42,411158.0
sh600170,2.91,496737.0
sh600171,17.68,832728.0000000001
sh600172,6.22,4870260.0
sh600173,4.86,14580.000000000002
sh600176,15.78,9509028.0
sh600177,7.35,244019.99999999997
sh600178,7.85,2736510.0
sh600179,4.33,549044.0
sh600180,5.59,384592.0
sh600182,12.97,1297.0
sh600183,23.0,1055700.0
sh600184,10.93,44813.0
sh600185,7.3,1973920.0
sh600186,2.85,105450.0
sh600187,2.3,10349.999999999998
sh600188,12.53,3317943.9999999995
sh600189,11.26,855760.0
sh600190,2.87,4018.0
sh600191,2.55,159375.0
sh600192,4.2,84000.0
sh600193,6.76,0.0
sh600195,11.24,101160.0
sh600196,64.0,28793600.0
sh600197,27.46,10086058.0
sh600198,5.94,943866.0
sh600199,14.3,3519230.0000000005
sh600200,7.79,1249516.0
sh600201,21.21,422079.0
sh600202,3.78,728783.9999999999
sh600203,7.33,0.0
sh600206,12.02,4506298.0
sh600207,6.59,1263303.0
sh600208,3.15,183330.0
sh600209,4.18,0.0
sh600210,4.92,97416.0
sh600211,67.92,6513528.0
sh600212,3.95,591315.0
sh600213,6.51,80724.0
sh600215,6.4,0.0
sh600216,16.6,2825320.0
sh600217,5.25,145425.0
sh600218,9.01,200923.0
